Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-February-2019,1234.00,1253.00,1225.75,1247.30,1238.354463016318026358,927747,15561,1148879638.00,499100,53.80,27.25,13.30
31-January-2019,1201.00,1229.80,1201.00,1227.10,1219.771943585027516552,620899,18129,757355180.00,266677,42.95,28.80,26.10
30-January-2019,1215.00,1224.90,1190.55,1194.80,1206.994492151482497750,450085,10108,543250116.00,152321,33.84,34.35,-20.20
29-January-2019,1230.00,1231.90,1201.60,1210.90,1211.181977634207726836,578115,8825,700202469.00,286431,49.55,30.30,-19.10
28-January-2019,1253.00,1255.45,1221.75,1229.60,1237.350257365687876952,787401,9609,974290830.00,207788,26.39,33.70,-23.40
25-January-2019,1250.10,1263.00,1236.55,1246.25,1253.507289482760625167,516086,11215,646917563.00,133069,25.78,26.45,-3.85
24-January-2019,1225.05,1251.75,1220.10,1245.40,1240.628752774013370189,946733,16585,1174544181.00,324758,34.30,31.65,20.35
23-January-2019,1233.40,1244.00,1222.50,1225.70,1232.768916574522438708,419632,7946,517309286.00,145350,34.64,21.50,-7.70
22-January-2019,1234.00,1246.25,1219.40,1234.75,1233.820950418117259754,1241159,19614,1531367977.00,491297,39.58,26.85,0.75
21-January-2019,1193.90,1237.40,1189.75,1234.50,1223.844257442750311903,1461187,30093,1788265319.00,311010,21.28,47.65,40.60
18-January-2019,1149.70,1189.25,1135.50,1182.95,1164.453006016123343244,1808806,32839,2106269584.00,481746,26.63,53.75,33.25
17-January-2019,1141.00,1147.80,1129.10,1133.75,1135.871664512903894939,776161,12737,881619287.00,320013,41.23,18.70,-7.25
16-January-2019,1134.70,1144.65,1130.25,1134.05,1138.133417852077871846,465380,9362,529664530.00,130499,28.04,14.40,-0.65
15-January-2019,1103.20,1132.30,1103.20,1129.55,1124.194381284040520022,661895,12574,744098640.00,316805,47.86,29.10,26.35
14-January-2019,1096.70,1102.00,1086.25,1096.45,1092.911658011006898690,258020,5879,281993066.00,94567,36.65,15.75,-0.25
11-January-2019,1109.30,1114.00,1089.50,1097.90,1099.171060093372088400,477873,8840,525264172.00,121689,25.46,24.50,-11.40
